TEAMID,CBBdata,API
1255,Wilson College,
1287,Rowan,
1288,McPherson,
1335,Barber Scotia,
1357,Cameron,
1359,Alfred State,
1391,Whitman,
1392,Union (KY),
1395,Indiana University East,
1396,Dominican (CA),
1404,Penn St Abington,
1416,SUNY Cobleskill,
1423,Johnson C Smith,
1498,Christian Brothers,
1504,Ripon,
1525,Northern State,
1526,RIT,
1528,Shaw,
1529,Waynesburg,
1530,Bryant & Stratton,
1531,St. Scholastica,
1533,Lawrence University,
1534,Manhattan Christian,
1536,Salish Kootenai,
1537,Bloomfield,
1538,Saint John's (MN),
1539,Penn State Hazleton,
1540,Baptist (Fl),
1541,Bryant & Stratton (Ohio),
