spread,result,cover_prob,push_prob,not_cover_prob
-58.5,36,2.02E-28,0,1
-58.5,37,5.04E-29,0,1
-58.5,38,1.23E-29,0,1
-58.5,39,2.98E-30,0,1
-58.5,40,7.09E-31,0,1
-58.5,41,1.66E-31,0,1
-58.5,42,3.85E-32,0,1
-58.5,43,8.82E-33,0,1
-58.5,44,1.99E-33,0,1
-58.5,45,4.46E-34,0,1
-58.5,46,9.87E-35,0,1
-58.5,47,2.16E-35,0,1
-58.5,48,4.70E-36,0,1
-58.5,49,1.01E-36,0,1
-58.5,50,2.17E-37,0,1
-58.5,51,4.62E-38,0,1
-58.5,52,9.77E-39,0,1
-58.5,53,2.05E-39,0,1
-58.5,54,4.30E-40,0,1
-58.5,55,8.95E-41,0,1
-58.5,56,1.85E-41,0,1
-58.5,57,3.83E-42,0,1
-58.5,58,7.88E-43,0,1
-58.5,59,1.62E-43,0,1
-58.5,60,3.31E-44,0,1
-58,-60,-0.083394928,0.254502863,0.574389201
-58,-59,-0.083355367,0.245701534,0.5919523
-58,-58,-0.082916943,0.236494373,0.609928197
-58,-57,-0.082076067,0.226889647,0.628296773
-58,-56,-0.080831583,0.216900307,0.647030969
-58,-55,-0.079185308,0.206544816,0.666095676
-58,-54,-0.077142623,0.195848027,0.685446568
-58,-53,-0.074713131,0.184842102,0.705028926
-58,-52,-0.071911339,0.173567413,0.724776513
-58,-51,-0.068757345,0.162073368,0.74461061
-58,-50,-0.06527749,0.150419079,0.764439332
-58,-49,-0.061504891,0.138673753,0.784157384
-58,-48,-0.057479805,0.126916676,0.803646452
-58,-47,-0.053249705,0.115236646,0.822776413
-58,-46,-0.048868977,0.103730703,0.841407572
-58,-45,-0.044398139,0.092502039,0.859394061
-58,-44,-0.039902493,0.081657014,0.876588466
-58,-43,-0.035450196,0.071301302,0.892847592
-58,-42,-0.031109762,0.061535328,0.908039107
-58,-41,-0.026947137,0.052449268,0.922048601
-58,-40,-0.023022553,0.044118072,0.93478641
-58,-39,-0.019387463,0.036597018,0.946193428
-58,-38,-0.016081889,0.02991837,0.956245149
-58,-37,-0.013132536,0.024089613,0.96495331
-58,-36,-0.010551896,0.019093553,0.97236479
-58,-35,-0.008338493,0.014890337,0.978557819
-58,-34,-0.006478201,0.01142114,0.983635922
-58,-33,-0.00494646,0.008613051,0.987720358
-58,-32,-0.003711058,0.006384543,0.990941971
-58,-31,-0.002735129,0.004650876,0.993433378
-58,-30,-0.001980023,0.003328897,0.995322228
-58,-29,-0.001407761,0.002340858,0.996726045
-58,-28,-0.00098294,0.001617058,0.997748823
-58,-27,-0.000673992,0.001097329,0.998479333
-58,-26,-0.000453858,7.31E-04,0.998990865
-58,-25,-0.000300159,4.79E-04,0.999342074
-58,-24,-0.000194983,3.08E-04,0.999578535
-58,-23,-0.000124429,1.95E-04,0.999734684
-58,-22,-7.80E-05,1.21E-04,0.999835839
-58,-21,-4.81E-05,7.40E-05,0.999900141
-58,-20,-2.91E-05,4.44E-05,0.999940265
-58,-19,-1.74E-05,2.63E-05,0.999964849
-58,-18,-1.02E-05,1.53E-05,0.999979645
-58,-17,-5.87E-06,8.74E-06,0.999988398
-58,-16,-3.33E-06,4.92E-06,0.999993488
-58,-15,-1.86E-06,2.73E-06,0.999996399
-58,-14,-1.03E-06,1.49E-06,0.999998038
-58,-13,-5.58E-07,8.06E-07,0.999998946
-58,-12,-2.98E-07,4.28E-07,0.999999442
-58,-11,-1.57E-07,2.24E-07,0.999999709
-58,-10,-8.19E-08,1.16E-07,0.99999985
-58,-9,-4.20E-08,5.91E-08,0.999999924
-58,-8,-2.13E-08,2.97E-08,0.999999962
-58,-7,-1.06E-08,1.47E-08,0.999999981
-58,-6,-5.23E-09,7.21E-09,0.999999991
-58,-5,-2.54E-09,3.48E-09,0.999999996
-58,-4,-1.22E-09,1.66E-09,0.999999998
-58,-3,-5.74E-10,7.78E-10,0.999999999
-58,-2,-2.67E-10,3.61E-10,1
-58,-1,-1.23E-10,1.65E-10,1
-58,1,-2.49E-11,3.30E-11,1
-58,2,-1.10E-11,1.45E-11,1
-58,3,-4.76E-12,6.26E-12,1
-58,4,-2.04E-12,2.67E-12,1
-58,5,-8.63E-13,1.12E-12,1
-58,6,-3.60E-13,4.67E-13,1
-58,7,-1.48E-13,1.91E-13,1
-58,8,-6.01E-14,7.72E-14,1
-58,9,-2.41E-14,3.08E-14,1
-58,10,-9.49E-15,1.21E-14,1
-58,11,-3.70E-15,4.69E-15,1
-58,12,-1.42E-15,1.79E-15,1
-58,13,-5.37E-16,6.76E-16,1
-58,14,-2.00E-16,2.51E-16,1
-58,15,-7.37E-17,9.20E-17,1
-58,16,-2.67E-17,3.32E-17,1
-58,17,-9.53E-18,1.18E-17,1
-58,18,-3.35E-18,4.13E-18,1
-58,19,-1.16E-18,1.42E-18,1
-58,20,-3.94E-19,4.83E-19,1
-58,21,-1.32E-19,1.61E-19,1
-58,22,-4.34E-20,5.28E-20,1
-58,23,-1.40E-20,1.70E-20,1
-58,24,-4.46E-21,5.40E-21,1
-58,25,-1.39E-21,1.68E-21,1
-58,26,-4.28E-22,5.14E-22,1
-58,27,-1.29E-22,1.55E-22,1
-58,28,-3.82E-23,4.57E-23,1
-58,29,-1.11E-23,1.32E-23,1
-58,30,-3.18E-24,3.77E-24,1
-58,31,-8.92E-25,1.06E-24,1
-58,32,-2.46E-25,2.91E-25,1
-58,33,-6.67E-26,7.85E-26,1
-58,34,-1.78E-26,2.09E-26,1
-58,35,-4.65E-27,5.45E-27,1
-58,36,-1.20E-27,1.40E-27,1
-58,37,-3.04E-28,3.54E-28,1
