"name","ncaa_name","reference_name","logos","conference","conference_2","url_conference","primary","secondary","tertiary","quaternary","background","border"
"Saint Francis (PA)","Saint Francis (PA)","Saint Francis (PA)","https://en.wikipedia.org/wiki/File:Saint_Francis_Red_Flash_logo.svg","NEC","NEC","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Northeast_Conference_logo.svg/1200px-Northeast_Conference_logo.svg.png","#BD1F25","#ffffff",NA,NA,"#0d67a4","#231f20"
"Saint Joseph's Hawks","Saint Joseph's","Saint Joseph's","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/st-josephs-brkln.svg","Atlantic 10","A-10","https://sportslogohistory.com/wp-content/uploads/2018/03/atlantic__10_conference_2014-pres.png","#9E1B32","#6C6F70",NA,NA,"#cf352a","#000000"
"Saint Louis Billikens","Saint Louis","Saint Louis","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/saint-louis.svg","Atlantic 10","A-10","https://sportslogohistory.com/wp-content/uploads/2018/03/atlantic__10_conference_2014-pres.png","#003DA5","#C8C9C7",NA,NA,"#cf352a","#000000"
"Saint Mary's (CA)","Saint Mary's (CA)","Saint Mary's (CA)","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/st-marys-ca.svg","WCC","WCC","https://sportslogohistory.com/wp-content/uploads/2018/01/west_coast__conference_2012-pres.png","#D80024","#06315B",NA,NA,"#10225e","#862B30"
"Saint Peter's Peacocks","Saint Peter's","Saint Peter's","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/saint-peters.svg","MAAC","MAAC","https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Metro_Atlantic_Athletic_Conference_logo.svg/200px-Metro_Atlantic_Athletic_Conference_logo.svg.png","#003C71","#0072CE","#A59C94","#000000","#2d4ca0","#D03C40"
"SaintBonaventure","SaintBonaventure","SaintBonaventure","https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/St._Bonaventure_Bonnies_logo.svg/500px-St._Bonaventure_Bonnies_logo.svg.png","Ivy","Ivy","https://sportslogohistory.com/wp-content/uploads/2019/05/ivy_league_2000-pres.png","#54261A","#FDB726","#BDB6B0",NA,"#01563f","#01563f"
"SaintFrancis Brooklyn","SaintFrancis Brooklyn","St. Francis (NY)","https://cdn.usteamcolors.com/images/ncaa/division-1/st-francis-brooklyn-terriers-logo.png","NEC","NEC","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Northeast_Conference_logo.svg/1200px-Northeast_Conference_logo.svg.png","#0038A8","#CE1126",NA,NA,"#0d67a4","#231f20"
"SaintJohn's (NY)","St. John's (NY)","St. John's (NY)","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/st-johns-ny.svg","Big East","Big East","https://sportslogohistory.com/wp-content/uploads/2017/12/big_east_conference_2005-pres.png","#BA0C2F","#041C2C","#A7A8AA",NA,"#163e79","#DA3742"
"Sam Houston State Bearkats","Sam Houston","Sam Houston State","https://upload.wikimedia.org/wikipedia/en/thumb/d/de/SHSU_athletics_logo.svg/737px-SHSU_athletics_logo.svg.png","Southland","Southland","https://www.southland.org/images/main_logo.png","#F56423","#004990",NA,NA,"#002649","#ffffff"
"Samford Bulldogs","Samford","Samford","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/samford.svg","SoCon","SoCon","https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Southern_Conference_logo.svg/200px-Southern_Conference_logo.svg.png","#C4161D","#002649",NA,NA,"#001489","#da291c"
