Home Team,Away Team,Team,Game Date,spread_evanmiya,win_prob_evanmiya,projected_total_evanmiya
Arkansas-Pine Bluff,Tulsa,Tulsa,2025-12-10,-25.7,0.988124796251984,158.068329210219
Cal State Northridge,Fresno State,Cal State Northridge,2025-12-10,0.1,0.496476425878905,155.912258431902
Cal State Northridge,Fresno State,Fresno State,2025-12-10,-0.1,0.503523574121095,155.912258431902
Fresno State,Cal State Northridge,Fresno State,2025-12-10,-0.1,0.503523574121095,155.912258431902
Fresno State,Cal State Northridge,Cal State Northridge,2025-12-10,0.1,0.496476425878905,155.912258431902
Fort Wayne,Eastern Michigan,Fort Wayne,2025-12-10,-3,0.607194376568576,149.598491234475
Fort Wayne,Eastern Michigan,Eastern Michigan,2025-12-10,3,0.392805623431424,149.598491234475
Eastern Michigan,Fort Wayne,Eastern Michigan,2025-12-10,3,0.392805623431424,149.598491234475
Eastern Michigan,Fort Wayne,Fort Wayne,2025-12-10,-3,0.607194376568576,149.598491234475
Iona,Bryant,Iona,2025-12-10,-11.7,0.854470801325705,147.197408231475
Iona,Bryant,Bryant,2025-12-10,11.7,0.145529198674295,147.197408231475
Bryant,Iona,Bryant,2025-12-10,11.7,0.145529198674295,147.197408231475
Bryant,Iona,Iona,2025-12-10,-11.7,0.854470801325705,147.197408231475
Texas State,Southern,Texas State,2025-12-10,-4.2,0.651012175500783,144.393094317397
Texas State,Southern,Southern,2025-12-10,4.2,0.348987824499217,144.393094317397
Southern,Texas State,Southern,2025-12-10,4.2,0.348987824499217,144.393094317397
Southern,Texas State,Texas State,2025-12-10,-4.2,0.651012175500783,144.393094317397
Missouri-Kansas City,Weber State,Missouri-Kansas City,2025-12-10,4.6,0.339081331594054,147.282474183831
Missouri-Kansas City,Weber State,Weber State,2025-12-10,-4.6,0.660918668405946,147.282474183831
Weber State,Missouri-Kansas City,Weber State,2025-12-10,-4.6,0.660918668405946,147.282474183831
Weber State,Missouri-Kansas City,Missouri-Kansas City,2025-12-10,4.6,0.339081331594054,147.282474183831
Princeton,Merrimack,Princeton,2025-12-10,-5.6,0.702659214248186,135.079865265803
Princeton,Merrimack,Merrimack,2025-12-10,5.6,0.297340785751814,135.079865265803
Merrimack,Princeton,Merrimack,2025-12-10,5.6,0.297340785751814,135.079865265803
Merrimack,Princeton,Princeton,2025-12-10,-5.6,0.702659214248186,135.079865265803
Fordham,Fairleigh Dickinson,Fordham,2025-12-10,-12.6,0.880091008637925,144.884455662498
Fordham,Fairleigh Dickinson,Fairleigh Dickinson,2025-12-10,12.6,0.119908991362075,144.884455662498
Fairleigh Dickinson,Fordham,Fairleigh Dickinson,2025-12-10,12.6,0.119908991362075,144.884455662498
Fairleigh Dickinson,Fordham,Fordham,2025-12-10,-12.6,0.880091008637925,144.884455662498
Eastern Illinois,Eastern Kentucky,Eastern Illinois,2025-12-10,1.9,0.431935963698329,149.741451994013
Eastern Illinois,Eastern Kentucky,Eastern Kentucky,2025-12-10,-1.9,0.568064036301671,149.741451994013
Eastern Kentucky,Eastern Illinois,Eastern Kentucky,2025-12-10,-1.9,0.568064036301671,149.741451994013
Eastern Kentucky,Eastern Illinois,Eastern Illinois,2025-12-10,1.9,0.431935963698329,149.741451994013
Boston University,Maine,Boston University,2025-12-10,-7.3,0.764473731762113,129.29930058768
Boston University,Maine,Maine,2025-12-10,7.3,0.235526268237887,129.29930058768
Maine,Boston University,Maine,2025-12-10,7.3,0.235526268237887,129.29930058768
Maine,Boston University,Boston University,2025-12-10,-7.3,0.764473731762113,129.29930058768
NJIT,New Haven,NJIT,2025-12-10,-2.7,0.595571665801869,133.723925603899
NJIT,New Haven,New Haven,2025-12-10,2.7,0.404428334198131,133.723925603899
New Haven,NJIT,New Haven,2025-12-10,2.7,0.404428334198131,133.723925603899
New Haven,NJIT,NJIT,2025-12-10,-2.7,0.595571665801869,133.723925603899
Iowa State,Iowa,Iowa State,2025-12-11,-14.5,0.909824246874518,148.676534679566
Iowa State,Iowa,Iowa,2025-12-11,14.5,0.090175753125482,148.676534679566
Iowa,Iowa State,Iowa,2025-12-11,14.5,0.090175753125482,148.676534679566
Iowa,Iowa State,Iowa State,2025-12-11,-14.5,0.909824246874518,148.676534679566
Syracuse,Saint Joseph's,Syracuse,2025-12-11,-17,0.936775990256322,145.046321575973
Syracuse,Saint Joseph's,Saint Joseph's,2025-12-11,17,0.0632240097436784,145.046321575973
Saint Joseph's,Syracuse,Saint Joseph's,2025-12-11,17,0.0632240097436784,145.046321575973
Saint Joseph's,Syracuse,Syracuse,2025-12-11,-17,0.936775990256322,145.046321575973
Missouri,Alabama State,Missouri,2025-12-11,-24,0.984681342034428,156.35791743785
Missouri,Alabama State,Alabama State,2025-12-11,24,0.0153186579655715,156.35791743785
Alabama State,Missouri,Alabama State,2025-12-11,24,0.0153186579655715,156.35791743785
Alabama State,Missouri,Missouri,2025-12-11,-24,0.984681342034428,156.35791743785
Virginia Tech,Western Carolina,Virginia Tech,2025-12-11,-19.6,0.96095357322494,152.21687201957
Virginia Tech,Western Carolina,Western Carolina,2025-12-11,19.6,0.03904642677506,152.21687201957
Western Carolina,Virginia Tech,Western Carolina,2025-12-11,19.6,0.03904642677506,152.21687201957
Western Carolina,Virginia Tech,Virginia Tech,2025-12-11,-19.6,0.96095357322494,152.21687201957
Texas-Rio Grande Valley,UT Arlington,Texas-Rio Grande Valley,2025-12-11,-4.6,0.661757740913129,143.993125167662
Texas-Rio Grande Valley,UT Arlington,UT Arlington,2025-12-11,4.6,0.338242259086871,143.993125167662
UT Arlington,Texas-Rio Grande Valley,UT Arlington,2025-12-11,4.6,0.338242259086871,143.993125167662
UT Arlington,Texas-Rio Grande Valley,Texas-Rio Grande Valley,2025-12-11,-4.6,0.661757740913129,143.993125167662
Cal State Bakersfield,North Dakota State,Cal State Bakersfield,2025-12-11,3.5,0.374228156355249,147.458415413637
Cal State Bakersfield,North Dakota State,North Dakota State,2025-12-11,-3.5,0.625771843644751,147.458415413637
North Dakota State,Cal State Bakersfield,North Dakota State,2025-12-11,-3.5,0.625771843644751,147.458415413637
North Dakota State,Cal State Bakersfield,Cal State Bakersfield,2025-12-11,3.5,0.374228156355249,147.458415413637
East Carolina,Appalachian State,East Carolina,2025-12-11,-4.2,0.656954878162045,136.127994833693
East Carolina,Appalachian State,Appalachian State,2025-12-11,4.2,0.343045121837955,136.127994833693
Appalachian State,East Carolina,Appalachian State,2025-12-11,4.2,0.343045121837955,136.127994833693
Appalachian State,East Carolina,East Carolina,2025-12-11,-4.2,0.656954878162045,136.127994833693
IU Indy,Green Bay,IU Indy,2025-12-11,2.5,0.413361138562409,167.020967627377
IU Indy,Green Bay,Green Bay,2025-12-11,-2.5,0.586638861437591,167.020967627377
Green Bay,IU Indy,Green Bay,2025-12-11,-2.5,0.586638861437591,167.020967627377
Green Bay,IU Indy,IU Indy,2025-12-11,2.5,0.413361138562409,167.020967627377
