Game,Game Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Idaho Vandals vs. North Dakota Fighting Hawks,Dec 03 09:00PM ET,Idaho Vandals,3,-10.5,-10.1,-10.5,0.5,-10.5,-0.023809523809523836,2.3,-13.4,-8.0,-9.2,-11.0,0.809512834418574,-600,0.821759872780281,-0.04763002272428307,0.066,0.88,0.75,0.797265796056867,3,151.5,148.5,150.5,151.5,2.0,149.0,148.0,149.795599109409,145.31,0.4849567874384211,0.5150432125615789,-0.03885273637110276,-0.008766311247944913,0,0,0,1
Wisconsin Badgers vs. Northwestern Wildcats,Dec 03 09:00PM ET,Wisconsin Badgers,3,-9.5,-6.05,-8.0,0.452000757288194,-9.5,-0.07180876652132984,0.5,-6.1,-6.0,-6.9,-5.9,0.7591596638655462,-500,0.7983193277310924,-0.07417366946778703,0.01,0.72,0.72,0.736919325239669,2,155.5,152.22542092801302,154.0,155.5,1.8,150.0,154.0,151.220841856026,153.23000000000002,0.4766742692132684,0.5233257307867316,-0.04713525459625545,-0.0004837930227922227,1,1,0,1
Wisconsin Badgers vs. Northwestern Wildcats,Dec 03 09:00PM ET,Northwestern Wildcats,3,9.5,6.05,8.0,0.547999242711806,9.5,0.028768473481036727,0.5,6.1,6.0,6.9,5.9,0.2408403361344538,375,0.20168067226890757,0.030314020344980125,0.01,0.28,0.28,0.263080674760331,2,155.5,152.22542092801302,154.0,155.5,1.8,150.0,154.0,151.220841856026,153.23000000000002,0.4766742692132684,0.5233257307867316,-0.04713525459625545,-0.0004837930227922227,1,1,0,1
BYU Cougars vs. Cal Baptist Lancers,Dec 03 09:00PM ET,BYU Cougars,3,-19.5,-17.85,-19.0,0.4839657729027816,-19.5,-0.03984375090674225,2.8,-12.8,-18.0,-17.7,-19.2,0.9382518115843872,-4000,0.9317803660565724,-0.03735794451317376,0.039,0.88,0.95,0.944723257112202,3,153.5,149.0,151.5,153.5,1.6,148.0,150.0,147.163902516462,150.48000000000002,0.4699349568237442,0.5300650431762558,-0.05947680788213816,0.009681350130692268,1,0,0,1
BYU Cougars vs. Cal Baptist Lancers,Dec 03 09:00PM ET,Cal Baptist Lancers,3,19.5,17.85,19.0,0.5160342270972185,19.5,-0.0077752967123053685,2.8,12.8,18.0,17.7,19.2,0.0617481884156127,1300,0.0682196339434276,-0.009680383012958711,0.039,0.12,0.05,0.0552767428877978,3,153.5,149.0,151.5,153.5,1.6,148.0,150.0,147.163902516462,150.48000000000002,0.4699349568237442,0.5300650431762558,-0.05947680788213816,0.009681350130692268,1,0,0,1
Rice Owls vs. Texas State Bobcats,Dec 03 09:00PM ET,Rice Owls,1,-3.0,-4.15,-3.5,0.5173678180739623,-3.0,0.0016293192846159599,1.2,-4.0,-3.0,-4.3,-5.8,0.6263042167224384,-160,0.5932372558235329,0.010919601337822882,0.043,0.67,0.59,0.659371177621344,2,133.5,134.1,133.5,133.5,1.7,134.0,133.0,136.98000819471,134.2,0.5,0.5,-0.023809523809523836,-0.023809523809523836,0,0,0,0
Air Force Falcons vs. Pacific Tigers,Dec 03 09:00PM ET,Air Force Falcons,1,5.5,7.25,6.0,0.4826321819260377,5.5,-0.04117734188348615,1.0,5.6,7.0,8.0,7.5,0.29004911993450677,200,0.3200982398690135,-0.04328421339882654,0.024,0.27,0.26,0.224049197737489,2,135.0,132.5,134.0,135.0,1.1,132.0,133.0,134.14903480449,131.76,0.4766713132888294,0.5077821418769288,-0.047138210520694446,-0.01602738193259501,1,1,0,1
Weber State Wildcats vs. Oral Roberts Golden Eagles,Dec 03 09:00PM ET,Oral Roberts Golden Eagles,3,7.5,7.35,7.5,0.5,7.5,-0.023809523809523836,1.0,7.7,7.0,8.6,6.2,0.24560149283526939,281,0.2512029856705388,-0.01654376930999274,0.02,0.24,0.26,0.220050317319495,2,158.0,156.575,157.5,158.0,1.5,157.0,159.0,155.558826145004,156.15,0.4844431069004852,0.5000014788054651,-0.03936641690903864,-0.023808045004058753,0,0,0,0
Montana St Bobcats vs. St. Thomas (MN) Tommies,Dec 03 09:00PM ET,St. Thomas (MN) Tommies,3,2.5,3.6500000000000004,3.0,0.4839657729027816,2.5,-0.04210057780811888,1.0,1.8,4.0,3.7,3.6,0.404560788069627,118,0.43912157613925396,-0.05415480826064828,0.036,0.43,0.37,0.364770439089461,1,147.0,143.835,145.5,147.0,0.3,144.0,144.0,143.489443807782,143.67000000000002,0.4658290826658605,0.5171040958885084,-0.05798044114366335,-0.006705427921015472,0,1,0,1
Rice Owls vs. Texas State Bobcats,Dec 03 09:00PM ET,Texas State Bobcats,1,3.0,4.15,3.5,0.4826321819260377,3.0,-0.04566970486641514,1.2,4.0,3.0,4.3,5.8,0.3736957832775616,137,0.4067627441764672,-0.04825265711554483,0.043,0.3299999999999999,0.41,0.340628822378656,2,133.5,134.1,133.5,133.5,1.7,134.0,133.0,136.98000819471,134.2,0.5,0.5,-0.023809523809523836,-0.023809523809523836,0,0,0,0
Vanderbilt Commodores vs. SMU Mustangs,Dec 03 09:15PM ET,Vanderbilt Commodores,3,-11.0,-12.45,-11.5,0.5160342270972185,-11.25,-0.006638803929034487,1.5,-12.8,-10.0,-12.1,-13.3,0.8397321595993572,-635,0.8294643191987146,-0.02421341863193527,0.013,0.85,0.83,0.855087266946689,3,166.0,166.5,166.0,166.0,1.2,167.0,166.0,168.179834166818,165.31,0.4924770562779967,0.4924770562779967,-0.03133246753152713,-0.03133246753152713,0,1,0,0
Georgia Tech Yellow Jackets vs. Mississippi St Bulldogs,Dec 03 09:15PM ET,Mississippi St Bulldogs,3,-2.5,-0.85,-2.0,0.4839657729027816,-2.5,-0.035264996327987685,1.1,0.8,-1.0,-0.7,-1.9,0.5388379631188055,-135,0.552594002855783,-0.035630121987577534,0.041,0.47,0.55,0.525081923381828,1,150.5,147.0,149.0,150.5,1.2,147.0,147.0,148.313863760984,145.46,0.4743624933886761,0.5256375066113239,-0.04944703042084775,0.0018279828018000766,1,1,0,1
