Game,Game Time,Home Team,Away Team,Team,Moneyline,Devigged Probability,Opening Spread,Spread Price,Projected Total,Over Point,Over Price,Under Point,Under Price
Virginia Cavaliers vs. Maryland-Eastern Shore Hawks,Dec 09 07:00PM ET,Virginia Cavaliers,Maryland-Eastern Shore Hawks,Maryland-Eastern Shore Hawks,,,37.5,-110.0,135.5,135.5,-110.0,135.5,-110.0
Stony Brook Seawolves vs. Columbia Lions,Dec 09 07:00PM ET,Stony Brook Seawolves,Columbia Lions,Stony Brook Seawolves,149.0,0.38691523039043263,3.5,-110.0,146.25,146.25,-110.0,146.25,-110.0
Stony Brook Seawolves vs. Columbia Lions,Dec 09 07:00PM ET,Stony Brook Seawolves,Columbia Lions,Columbia Lions,-175.0,0.6130847696095674,-3.5,-110.5,146.25,146.25,-110.0,146.25,-110.0
Saint Joseph's Hawks vs. Coppin St Eagles,Dec 09 07:00PM ET,Saint Joseph's Hawks,Coppin St Eagles,Coppin St Eagles,1867.0886075949365,0.04901253229538914,22.0,-110.0,146.5,146.5,-110.0,146.5,-110.0
Rider Broncs vs. Bucknell Bison,Dec 09 07:00PM ET,Rider Broncs,Bucknell Bison,Rider Broncs,128.00000000000003,0.41913214990138065,2.5,-110.0,136.5,136.5,-105.0,136.5,-113.0
Saint Joseph's Hawks vs. Coppin St Eagles,Dec 09 07:00PM ET,Saint Joseph's Hawks,Coppin St Eagles,Saint Joseph's Hawks,-7241.496598639479,0.9509874677046107,-22.0,-110.0,146.5,146.5,-110.0,146.5,-110.0
Rhode Island Rams vs. McNeese Cowboys,Dec 09 07:00PM ET,Rhode Island Rams,McNeese Cowboys,Rhode Island Rams,110.00000000000001,0.4556166535742341,1.5,-110.0,144.5,144.5,-110.0,144.5,-110.0
Rhode Island Rams vs. McNeese Cowboys,Dec 09 07:00PM ET,Rhode Island Rams,McNeese Cowboys,McNeese Cowboys,-132.00000000000003,0.5443833464257659,-1.5,-110.0,144.5,144.5,-110.0,144.5,-110.0
North Carolina A&T Aggies vs. Howard Bison,Dec 09 07:00PM ET,North Carolina A&T Aggies,Howard Bison,North Carolina A&T Aggies,-150.0,0.5711835334476844,-2.5,-110.0,148.0,148.0,-110.0,148.0,-110.0
North Carolina A&T Aggies vs. Howard Bison,Dec 09 07:00PM ET,North Carolina A&T Aggies,Howard Bison,Howard Bison,122.0,0.42881646655231564,2.5,-110.0,148.0,148.0,-110.0,148.0,-110.0
Kentucky Wildcats vs. North Carolina Central Eagles,Dec 09 07:00PM ET,Kentucky Wildcats,North Carolina Central Eagles,North Carolina Central Eagles,,,44.5,-110.0,146.5,146.5,-110.0,146.5,-110.0
Kentucky Wildcats vs. North Carolina Central Eagles,Dec 09 07:00PM ET,Kentucky Wildcats,North Carolina Central Eagles,Kentucky Wildcats,,,-44.5,-110.0,146.5,146.5,-110.0,146.5,-110.0
