Game,Game Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Elon Phoenix vs. Mercer Bears,Nov 29 04:00PM ET,Elon Phoenix,3,-1.5,-3.9,-2.5,0.5320425632110974,-1.5,0.008233039401573605,1.8,-4.8,-1.0,-4.6,-3.2,0.6022096779209117,-134,0.5459837019790454,0.02956010527133912,0.06,0.67,0.56,0.658435653862778,1,162.0,160.056508606612,161.0,162.0,2.9,157.0,161.0,159.113017213224,163.70999999999998,0.4743585679133448,0.508554996783795,-0.046025125132218736,-0.02085676792208735,0,1,0,0
East Tennessee St Buccaneers vs. Central Arkansas Bears,Nov 29 04:00PM ET,Central Arkansas Bears,2,11.0,15.2,12.5,0.4495651839673769,11.0,-0.0696655852633924,1.7,12.9,15.0,17.0,15.4,0.14348325992906413,412,0.18696651985812837,-0.05175483530903108,0.035,0.13,0.0999999999999999,0.0599357663455489,3,144.5,144.5300958071765,144.5,144.5,3.5,145.0,149.0,144.060191614353,140.60000000000002,0.5,0.5,-0.023809523809523836,-0.023809523809523836,1,1,0,0
Weber State Wildcats vs. UMKC Kangaroos,Nov 29 04:00PM ET,UMKC Kangaroos,3,11.0,10.15,10.5,0.5160342270972185,11.0,-0.0077752967123053685,1.3,7.6,10.0,10.4,10.3,0.18630100147518297,424,0.18260200295036602,-0.004608089433907919,0.027,0.2299999999999999,0.1899999999999999,0.178000866111544,3,153.0,148.144119194827,151.0,153.0,4.5,144.0,154.0,150.528238389654,145.76,0.4624333836521225,0.5225634700046342,-0.06137614015740134,-0.007952961920248414,1,0,0,0
Pennsylvania Quakers vs. La Salle Explorers,Nov 29 04:30PM ET,La Salle Explorers,3,4.0,3.6999999999999997,4.0,0.5,3.75,-0.014563106796116498,1.7,3.3,1.0,4.8,4.1,0.37304905078539075,162,0.36609810157078154,-0.008652580916240993,0.07,0.38,0.47,0.332269256546114,2,150.0,151.9588773855425,151.0,150.0,2.7,151.0,155.0,152.917754771085,148.7,0.5077821418769288,0.4766713132888295,-0.021629622828953532,-0.04140097586779701,0,0,0,0
Pennsylvania Quakers vs. La Salle Explorers,Nov 29 04:30PM ET,Pennsylvania Quakers,3,-4.0,-3.6999999999999997,-4.0,0.5,-3.75,-0.03488372093023251,1.7,-3.3,-1.0,-4.8,-4.1,0.6269509492146093,-195,0.6339018984292184,-0.03396859101527583,0.07,0.62,0.53,0.667730743453886,2,150.0,151.9588773855425,151.0,150.0,2.7,151.0,155.0,152.917754771085,148.7,0.5077821418769288,0.4766713132888295,-0.021629622828953532,-0.04140097586779701,0,0,0,0
Lafayette Leopards vs. Ball State Cardinals,Nov 29 04:30PM ET,Ball State Cardinals,2,-1.5,1.05,-0.5,0.4663268053956411,-1.5,-0.04347711617298633,1.7,1.1,-2.0,1.9,1.0,0.488682062858135,-118,0.5173641257162701,-0.052602340811589765,0.08,0.4599999999999999,0.58,0.428414751038403,1,142.5,142.61,142.5,142.5,3.9,142.0,150.0,141.62136583077,143.22,0.5,0.5,-0.023809523809523836,-0.023809523809523836,0,0,0,0
Lafayette Leopards vs. Ball State Cardinals,Nov 29 04:30PM ET,Lafayette Leopards,2,1.5,-1.05,0.5,0.5336731946043589,1.5,-0.0076112090653658315,1.7,-1.1,2.0,-1.9,-1.0,0.5113179371418649,-102,0.4826358742837298,0.006367442092359954,0.08,0.54,0.42,0.571585248961597,1,142.5,142.61,142.5,142.5,3.9,142.0,150.0,141.62136583077,143.22,0.5,0.5,-0.023809523809523836,-0.023809523809523836,0,0,0,0
Eastern Kentucky Colonels vs. Wofford Terriers,Nov 29 05:00PM ET,Eastern Kentucky Colonels,3,-0.5,-3.0,-1.5,0.5320425632110974,-0.5,0.012811793980328168,1.4,-5.4,-2.0,-2.9,-3.1,0.550945672881076,-110,0.5,0.02713614907155215,0.055,0.69,0.59,0.601891345762152,1,158.5,158.5,158.5,158.5,5.4,159.0,158.0,159.471637659046,148.06,0.5,0.5,-0.027186761229314405,-0.01807228915662651,1,1,0,0
Eastern Kentucky Colonels vs. Wofford Terriers,Nov 29 05:00PM ET,Wofford Terriers,3,0.5,3.0,1.5,0.4679574367889025,0.5,-0.05585208702062133,1.4,5.4,2.0,2.9,3.1,0.449054327118924,-110,0.5,-0.07475519669059982,0.055,0.31,0.41,0.398108654237848,1,158.5,158.5,158.5,158.5,5.4,159.0,158.0,159.471637659046,148.06,0.5,0.5,-0.027186761229314405,-0.01807228915662651,1,1,0,0
CSU Fullerton Titans vs. Pepperdine Waves,Nov 29 05:00PM ET,Pepperdine Waves,3,-3.5,-0.75,-2.5,0.4679574367889025,-3.5,-0.05585208702062133,2.9,-0.7,-5.0,2.0,-0.8,0.5618939633875975,-174,0.6037879267751948,-0.07306473631930377,0.126,0.52,0.68,0.431235808092125,2,160.5,156.63,159.0,160.5,2.2,155.0,155.0,159.124441408952,158.26,0.4766742692132684,0.5233257307867316,-0.04713525459625545,-0.0004837930227922227,0,0,0,1
